Sample_name,Well_number,X_mosaic,Y_mosaic,Object_number,Cell_class,CentroidX,CentroidY,CentroidZ,Volume,Compactness,Elongation
dataset_0120,1,1,1,1,none,406.3066,804.8019,26.434,584.1872,0.3102,2.3136
dataset_0120,1,1,1,2,cd68,418.951,804.1259,28.9021,788.1016,0.149,1.7029
dataset_0120,1,1,1,3,none,377.7027,60.5405,36.527,203.9144,0.1512,1.3389
dataset_0120,1,1,1,4,lectine,451.4949,736.8159,39.6655,1631.3152,0.1136,1.2878
dataset_0120,1,1,1,5,none,445.8316,95.7143,47.602,540.0976,0.2361,2.1272
dataset_0120,1,1,1,6,none,316.7095,306.1397,48.1285,986.5048,0.2198,1.7336
dataset_0120,1,1,1,7,none,302.2939,327.6613,47.853,862.5028,0.2187,2.2618
dataset_0120,1,1,1,8,bodipy,474.5018,733.6918,48.1219,768.8124,0.2588,2.1861
dataset_0120,1,1,1,9,none,430.0645,116.2903,47,85.4236,0.1595,1.2011
dataset_0120,1,1,1,10,lectine,472.0455,29.2562,55.7182,12185.2632,0.04585,1.714
dataset_0120,1,1,1,11,lectine,441.6615,102.2637,52.9076,4086.5548,0.05341,1.3397
dataset_0120,1,1,1,12,lectine,564.6222,794.5407,52.0148,372.006,0.2823,1.552
dataset_0120,1,1,1,13,lectine,454.166,72.8424,54.5619,5296.2632,0.04,1.0423
dataset_0120,1,1,1,14,lectine,509.6071,138.2143,52,77.1568,0.1496,2.424
dataset_0120,1,1,1,15,none,511.2662,149.9928,53.0144,383.0284,0.1796,1.1776
dataset_0120,1,1,1,16,lectine,454.2206,25.9533,55.6972,1474.246,0.2126,1.9104
dataset_0120,1,1,1,17,lectine,468.1302,792.073,55.5048,868.014,0.253,3.0017
dataset_0120,1,1,1,18,lectine,474.4207,82.561,55.9726,903.8368,0.2217,1.797
dataset_0120,1,1,1,19,lectine,479.6341,800.6899,56.115,790.8572,0.2173,2.2944
dataset_0120,1,1,1,20,lectine,334.2581,34.3333,57.5323,1025.0832,0.1968,1.995
dataset_0120,1,1,1,21,none,421.9643,125,56,77.1568,0.1301,2.9077
dataset_0120,1,1,1,22,bodipy,518.7868,761.3062,57.4147,710.9448,0.2095,1.9386
dataset_0120,1,1,1,23,lectine,494.375,781.0027,57.8342,1014.0608,0.1774,1.5295
dataset_0120,1,1,1,24,lectine,384.9048,1.619,57.5079,173.6028,0.2876,1.0905
dataset_0120,1,1,1,25,none,366.6364,112.3,59.0364,303.116,0.1565,1.8595
dataset_0120,1,1,1,26,none,373.5333,112.8667,58,41.334,0.2036,1.5425
dataset_0120,1,1,1,27,lectine,281.7528,372.4445,62.4716,3254.3636,0.08076,2.7656
dataset_0120,1,1,1,28,lectine,409.1136,30.7509,61.0513,752.2788,0.306,2.7866
dataset_0120,1,1,1,29,lectine,531.0143,752.5874,61.4814,961.7044,0.2471,2.6674
dataset_0120,1,1,1,30,bodipy,372.8317,42.5016,61.9397,868.014,0.2405,1.9954
dataset_0120,1,1,1,31,none,428.4645,590.4774,60.9806,427.118,0.2623,1.3234
dataset_0120,1,1,1,32,none,566.4122,751.0802,62.1985,721.9672,0.22,2.6405
dataset_0120,1,1,1,33,lectine,393.8024,43.947,66.5349,2287.148,0.05231,2.0727
dataset_0120,1,1,1,34,none,387.495,129.203,63.4554,556.6312,0.2626,2.0367
dataset_0120,1,1,1,35,lectine,300.4803,400.4441,64.5307,1749.806,0.2111,1.6664
dataset_0120,1,1,1,36,bodipy,591.4338,767.3699,63.5068,603.4764,0.1719,1.6006
dataset_0120,1,1,1,37,lectine,549.9701,768.6986,66.0212,2212.7468,0.1403,1.5287
dataset_0120,1,1,1,38,bodipy,393.9836,76.2131,64.5082,168.0916,0.3162,1.3039
dataset_0120,1,1,1,39,bodipy,567.5231,735.7846,64.5077,179.114,0.2908,1.3495
dataset_0120,1,1,1,40,none,338.9943,412.8448,66.6494,479.4744,0.1819,1.8232
dataset_0120,1,1,1,41,bodipy,503.9747,198.7468,67.5148,653.0772,0.1903,2.0707
dataset_0120,1,1,1,42,lectine,308.7514,378.422,67.5318,476.7188,0.3179,2.1971
